Gender,Customer Type,Type of Travel,Class,satisfaction,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,13,460,5,4,5,25,18.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,25,235,1,3,1,1,6.0
Female,Loyal Customer,Business travel,Business,satisfied,26,1142,5,4,5,0,0.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,25,562,2,3,2,11,9.0
Male,Loyal Customer,Business travel,Business,satisfied,61,214,3,4,3,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,26,1180,1,4,1,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,47,1276,2,4,2,9,23.0
Female,Loyal Customer,Business travel,Business,satisfied,52,2035,5,5,4,4,0.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,41,853,1,1,2,0,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,20,1061,2,4,2,0,0.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,24,1182,2,5,2,0,0.0
Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,12,308,1,5,1,0,0.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,53,834,1,3,1,28,8.0
Male,Loyal Customer,Personal Travel,Eco,satisfied,33,946,4,2,4,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,26,453,2,2,2,43,35.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,13,486,4,4,4,1,0.0
Female,Loyal Customer,Business travel,Business,satisfied,26,2123,4,4,4,49,51.0
Male,Loyal Customer,Business travel,Business,satisfied,41,2075,5,5,5,0,10.0
Female,Loyal Customer,Business travel,Business,satisfied,45,2486,5,5,4,7,5.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,38,460,5,4,5,17,18.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,9,1174,2,3,2,0,4.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,17,208,5,3,5,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,43,752,3,5,4,52,29.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,58,2139,4,4,2,0,0.0
Female,disloyal Customer,Business travel,Eco,satisfied,23,452,1,5,1,54,44.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,57,719,5,4,5,27,28.0
Female,Loyal Customer,Business travel,Business,satisfied,33,1561,4,3,2,0,0.0
Female,Loyal Customer,Business travel,Eco Plus,satisfied,49,315,4,4,2,0,8.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,36,3347,3,3,2,18,12.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,22,2342,3,3,3,19,0.0
Female,Loyal Customer,Business travel,Business,satisfied,31,819,5,3,5,0,0.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,15,1043,5,4,5,3,0.0
Female,Loyal Customer,Business travel,Business,satisfied,35,2611,3,5,4,109,120.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,67,1192,5,3,5,18,24.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,37,1182,1,3,1,9,0.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,40,349,1,3,1,0,1.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,34,883,5,5,5,0,0.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,40,550,2,4,2,23,20.0
Female,Loyal Customer,Personal Travel,Eco,satisfied,47,302,4,4,4,23,31.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,41,354,1,4,1,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,39,1734,4,4,3,0,0.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,25,1452,3,5,3,9,23.0
Male,Loyal Customer,Business travel,Business,satisfied,41,296,4,4,3,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,38,2882,5,5,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,50,460,3,3,5,1,15.0
Male,Loyal Customer,Business travel,Business,satisfied,29,529,5,5,5,4,0.0
Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,22,349,4,4,4,0,0.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,13,1522,1,3,1,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,54,612,5,5,3,8,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,21,1454,5,3,5,0,0.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,28,731,2,2,2,14,8.0
Male,Loyal Customer,Business travel,Business,satisfied,27,2076,4,4,4,0,1.0
Female,Loyal Customer,Business travel,Eco,satisfied,69,309,5,5,2,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,35,775,4,3,4,1,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,60,861,4,4,4,10,10.0
Female,Loyal Customer,Business travel,Business,satisfied,45,3334,4,4,5,51,48.0
